PID,PID_Sex,PID_Age,Manipulation,combined_info,score,face_id,condition
64,Female,19,Masculinity,101_Manipulated,4.0,101,Manipulated
65,Female,20,Masculinity,101_Manipulated,,101,Manipulated
66,Male,21,Masculinity,101_Manipulated,,101,Manipulated
67,Female,34,Masculinity,101_Manipulated,,101,Manipulated
68,Male,18,Masculinity,101_Manipulated,,101,Manipulated
69,Female,19,Masculinity,101_Manipulated,,101,Manipulated
70,Female,19,Masculinity,101_Manipulated,,101,Manipulated
71,Female,18,Masculinity,101_Manipulated,,101,Manipulated
72,Female,18,Masculinity,101_Manipulated,,101,Manipulated
73,Female,19,Masculinity,101_Manipulated,,101,Manipulated
74,Female,18,Masculinity,101_Manipulated,5.0,101,Manipulated
75,Female,20,Masculinity,101_Manipulated,5.0,101,Manipulated
76,Female,18,Masculinity,101_Manipulated,,101,Manipulated
77,Female,20,Masculinity,101_Manipulated,6.0,101,Manipulated
78,Female,19,Masculinity,101_Manipulated,,101,Manipulated
79,Female,20,Masculinity,101_Manipulated,,101,Manipulated
80,Female,20,Masculinity,101_Manipulated,,101,Manipulated
81,Female,18,Masculinity,101_Manipulated,3.0,101,Manipulated
82,Female,20,Masculinity,101_Manipulated,3.0,101,Manipulated
83,Female,18,Masculinity,101_Manipulated,4.0,101,Manipulated
84,Female,19,Masculinity,101_Manipulated,,101,Manipulated
85,Female,19,Masculinity,101_Manipulated,,101,Manipulated
86,Male,18,Masculinity,101_Manipulated,6.0,101,Manipulated
87,Female,18,Masculinity,101_Manipulated,4.0,101,Manipulated
88,Female,18,Masculinity,101_Manipulated,3.0,101,Manipulated
89,Female,39,Masculinity,101_Manipulated,4.0,101,Manipulated
90,Female,18,Masculinity,101_Manipulated,,101,Manipulated
91,Male,19,Masculinity,101_Manipulated,,101,Manipulated
92,Female,20,Masculinity,101_Manipulated,3.0,101,Manipulated
103,Female,18,Symmetry,101_Manipulated,5.0,101,Manipulated
106,Female,19,Symmetry,101_Manipulated,,101,Manipulated
106,Male,22,Symmetry,101_Manipulated,,101,Manipulated
109,Male,20,Symmetry,101_Manipulated,,101,Manipulated
112,Female,18,Symmetry,101_Manipulated,,101,Manipulated
115,Female,18,Symmetry,101_Manipulated,,101,Manipulated
118,Female,19,Symmetry,101_Manipulated,3.0,101,Manipulated
121,Female,18,Symmetry,101_Manipulated,,101,Manipulated
124,Female,19,Symmetry,101_Manipulated,4.0,101,Manipulated
127,Female,19,Symmetry,101_Manipulated,5.0,101,Manipulated
130,Female,19,Symmetry,101_Manipulated,,101,Manipulated
133,Female,21,Symmetry,101_Manipulated,4.0,101,Manipulated
136,Male,20,Symmetry,101_Manipulated,5.0,101,Manipulated
139,Female,19,Symmetry,101_Manipulated,4.0,101,Manipulated
142,Female,19,Symmetry,101_Manipulated,4.0,101,Manipulated
145,Male,18,Symmetry,101_Manipulated,6.0,101,Manipulated
148,Male,22,Symmetry,101_Manipulated,5.0,101,Manipulated
151,Male,20,Symmetry,101_Manipulated,4.0,101,Manipulated
154,Male,21,Symmetry,101_Manipulated,4.0,101,Manipulated
157,Male,19,Symmetry,101_Manipulated,,101,Manipulated
160,Male,19,Symmetry,101_Manipulated,,101,Manipulated
163,Male,21,Symmetry,101_Manipulated,4.0,101,Manipulated
166,Male,18,Symmetry,101_Manipulated,4.0,101,Manipulated
169,Male,21,Symmetry,101_Manipulated,,101,Manipulated
172,Female,19,Symmetry,101_Manipulated,,101,Manipulated
175,Male,21,Symmetry,101_Manipulated,,101,Manipulated
178,Male,20,Symmetry,101_Manipulated,,101,Manipulated
181,Female,22,Symmetry,101_Manipulated,5.0,101,Manipulated
184,Female,21,Symmetry,101_Manipulated,2.0,101,Manipulated
187,Female,19,Symmetry,101_Manipulated,3.0,101,Manipulated
190,Male,19,Symmetry,101_Manipulated,,101,Manipulated
193,Female,22,Symmetry,101_Manipulated,4.0,101,Manipulated
196,Female,20,Symmetry,101_Manipulated,3.0,101,Manipulated
199,Female,19,Symmetry,101_Manipulated,,101,Manipulated
202,Female,19,Symmetry,101_Manipulated,4.0,101,Manipulated
205,Female,22,Symmetry,101_Manipulated,,101,Manipulated
208,Female,18,Symmetry,101_Manipulated,,101,Manipulated
211,Female,18,Symmetry,101_Manipulated,,101,Manipulated
214,Female,20,Symmetry,101_Manipulated,,101,Manipulated
217,Female,19,Symmetry,101_Manipulated,,101,Manipulated
220,Male,21,Symmetry,101_Manipulated,3.0,101,Manipulated
275,Male,20,Symmetry,101_Manipulated,,101,Manipulated
102,Female,19,Averageness,101_None,2.0,101,
105,Female,19,Averageness,101_None,3.0,101,
108,Male,19,Averageness,101_None,,101,
111,Female,19,Averageness,101_None,,101,
114,Male,19,Averageness,101_None,,101,
117,Female,19,Averageness,101_None,5.0,101,
120,Female,19,Averageness,101_None,,101,
123,Male,19,Averageness,101_None,,101,
126,Male,21,Averageness,101_None,,101,
129,Female,19,Averageness,101_None,,101,
132,Female,19,Averageness,101_None,2.0,101,
135,Female,19,Averageness,101_None,,101,
138,Male,19,Averageness,101_None,1.0,101,
141,Female,22,Averageness,101_None,4.0,101,
144,Male,19,Averageness,101_None,,101,
147,Female,19,Averageness,101_None,6.0,101,
150,Male,19,Averageness,101_None,,101,
153,Male,18,Averageness,101_None,3.0,101,
156,Male,18,Averageness,101_None,,101,
159,Female,19,Averageness,101_None,3.0,101,
162,Female,19,Averageness,101_None,,101,
165,Female,18,Averageness,101_None,,101,
168,Male,20,Averageness,101_None,4.0,101,
171,Male,19,Averageness,101_None,,101,
174,Male,21,Averageness,101_None,,101,
177,Female,22,Averageness,101_None,,101,
180,Female,19,Averageness,101_None,,101,
183,Male,20,Averageness,101_None,,101,
186,Female,21,Averageness,101_None,2.0,101,
189,Female,19,Averageness,101_None,3.0,101,
192,Female,20,Averageness,101_None,5.0,101,
195,Female,19,Averageness,101_None,,101,
198,Female,19,Averageness,101_None,4.0,101,
201,Female,20,Averageness,101_None,3.0,101,
204,Female,20,Averageness,101_None,,101,
207,Female,18,Averageness,101_None,4.0,101,
210,Female,19,Averageness,101_None,7.0,101,
213,Male,19,Averageness,101_None,2.0,101,
216,Female,21,Averageness,101_None,2.0,101,
219,Female,18,Averageness,101_None,,101,
222,Female,21,Averageness,101_None,3.0,101,
101,Female,21,Femininity,101_None,,101,
104,Female,18,Femininity,101_None,3.0,101,
110,Female,19,Femininity,101_None,5.0,101,
113,Female,18,Femininity,101_None,,101,
116,Female,18,Femininity,101_None,4.0,101,
119,Female,20,Femininity,101_None,,101,
122,Female,20,Femininity,101_None,1.0,101,
125,Male,19,Femininity,101_None,5.0,101,
128,Female,19,Femininity,101_None,2.0,101,
131,Female,18,Femininity,101_None,1.0,101,
134,Female,18,Femininity,101_None,5.0,101,
137,Female,19,Femininity,101_None,,101,
140,Female,19,Femininity,101_None,,101,
143,Female,18,Femininity,101_None,,101,
146,Female,19,Femininity,101_None,5.0,101,
149,Female,18,Femininity,101_None,3.0,101,
152,Male,19,Femininity,101_None,,101,
155,Male,19,Femininity,101_None,,101,
158,Male,19,Femininity,101_None,2.0,101,
161,Male,19,Femininity,101_None,,101,
164,Female,20,Femininity,101_None,4.0,101,
167,Male,19,Femininity,101_None,,101,
170,Male,19,Femininity,101_None,,101,
173,Male,19,Femininity,101_None,1.0,101,
176,Female,22,Femininity,101_None,2.0,101,
179,Male,20,Femininity,101_None,3.0,101,
182,Male,18,Femininity,101_None,4.0,101,
185,Female,22,Femininity,101_None,,101,
188,Female,21,Femininity,101_None,3.0,101,
191,Female,21,Femininity,101_None,5.0,101,
194,Male,18,Femininity,101_None,,101,
197,Female,21,Femininity,101_None,7.0,101,
200,Male,20,Femininity,101_None,5.0,101,
203,Female,19,Femininity,101_None,,101,
206,Male,20,Femininity,101_None,5.0,101,
209,Male,20,Femininity,101_None,,101,
212,Male,22,Femininity,101_None,,101,
215,Female,20,Femininity,101_None,3.0,101,
218,Male,18,Femininity,101_None,5.0,101,
221,Male,19,Femininity,101_None,,101,
224,Male,20,Femininity,101_None,4.0,101,
43,Male,34,Masculinity,101_None,4.0,101,
44,Female,19,Masculinity,101_None,6.0,101,
45,Male,20,Masculinity,101_None,,101,
46,Female,19,Masculinity,101_None,,101,
47,Female,19,Masculinity,101_None,,101,
48,Female,20,Masculinity,101_None,7.0,101,
49,Male,23,Masculinity,101_None,4.0,101,
50,Female,19,Masculinity,101_None,3.0,101,
51,Female,19,Masculinity,101_None,,101,
52,Female,22,Masculinity,101_None,3.0,101,
53,Female,19,Masculinity,101_None,4.0,101,
54,Male,19,Masculinity,101_None,3.0,101,
55,Female,20,Masculinity,101_None,5.0,101,
56,Female,20,Masculinity,101_None,4.0,101,
57,Female,19,Masculinity,101_None,,101,
58,Male,18,Masculinity,101_None,1.0,101,
59,Male,31,Masculinity,101_None,,101,
60,Male,19,Masculinity,101_None,,101,
61,Female,41,Masculinity,101_None,4.0,101,
62,Female,19,Masculinity,101_None,,101,
63,Female,24,Masculinity,101_None,,101,
64,Female,19,Masculinity,101_None,,101,
65,Female,20,Masculinity,101_None,3.0,101,
66,Male,21,Masculinity,101_None,3.0,101,
67,Female,34,Masculinity,101_None,5.0,101,
68,Male,18,Masculinity,101_None,5.0,101,
69,Female,19,Masculinity,101_None,4.0,101,
70,Female,19,Masculinity,101_None,7.0,101,
71,Female,18,Masculinity,101_None,4.0,101,
72,Female,18,Masculinity,101_None,4.0,101,
73,Female,19,Masculinity,101_None,5.0,101,
74,Female,18,Masculinity,101_None,,101,
75,Female,20,Masculinity,101_None,,101,
76,Female,18,Masculinity,101_None,4.0,101,
77,Female,20,Masculinity,101_None,,101,
78,Female,19,Masculinity,101_None,2.0,101,
79,Female,20,Masculinity,101_None,3.0,101,
80,Female,20,Masculinity,101_None,4.0,101,
81,Female,18,Masculinity,101_None,,101,
82,Female,20,Masculinity,101_None,,101,
83,Female,18,Masculinity,101_None,,101,
84,Female,19,Masculinity,101_None,4.0,101,
85,Female,19,Masculinity,101_None,5.0,101,
86,Male,18,Masculinity,101_None,,101,
87,Female,18,Masculinity,101_None,,101,
88,Female,18,Masculinity,101_None,,101,
89,Female,39,Masculinity,101_None,,101,
90,Female,18,Masculinity,101_None,4.0,101,
91,Male,19,Masculinity,101_None,2.0,101,
92,Female,20,Masculinity,101_None,,101,
103,Female,18,Symmetry,101_None,,101,
106,Female,19,Symmetry,101_None,4.0,101,
106,Male,22,Symmetry,101_None,2.0,101,
109,Male,20,Symmetry,101_None,1.0,101,
112,Female,18,Symmetry,101_None,6.0,101,
115,Female,18,Symmetry,101_None,6.0,101,
118,Female,19,Symmetry,101_None,,101,
121,Female,18,Symmetry,101_None,6.0,101,
124,Female,19,Symmetry,101_None,,101,
127,Female,19,Symmetry,101_None,,101,
130,Female,19,Symmetry,101_None,2.0,101,
133,Female,21,Symmetry,101_None,,101,
136,Male,20,Symmetry,101_None,,101,
139,Female,19,Symmetry,101_None,,101,
142,Female,19,Symmetry,101_None,,101,
145,Male,18,Symmetry,101_None,,101,
148,Male,22,Symmetry,101_None,,101,
151,Male,20,Symmetry,101_None,,101,
154,Male,21,Symmetry,101_None,,101,
157,Male,19,Symmetry,101_None,2.0,101,
160,Male,19,Symmetry,101_None,3.0,101,
163,Male,21,Symmetry,101_None,,101,
166,Male,18,Symmetry,101_None,,101,
169,Male,21,Symmetry,101_None,5.0,101,
172,Female,19,Symmetry,101_None,4.0,101,
175,Male,21,Symmetry,101_None,6.0,101,
178,Male,20,Symmetry,101_None,4.0,101,
181,Female,22,Symmetry,101_None,,101,
184,Female,21,Symmetry,101_None,,101,
187,Female,19,Symmetry,101_None,,101,
190,Male,19,Symmetry,101_None,4.0,101,
193,Female,22,Symmetry,101_None,,101,
196,Female,20,Symmetry,101_None,,101,
199,Female,19,Symmetry,101_None,4.0,101,
202,Female,19,Symmetry,101_None,,101,
205,Female,22,Symmetry,101_None,5.0,101,
208,Female,18,Symmetry,101_None,2.0,101,
211,Female,18,Symmetry,101_None,6.0,101,
214,Female,20,Symmetry,101_None,3.0,101,
217,Female,19,Symmetry,101_None,2.0,101,
220,Male,21,Symmetry,101_None,,101,
275,Male,20,Symmetry,101_None,3.0,101,
102,Female,19,Averageness,102_Manipulated,5.0,102,Manipulated
105,Female,19,Averageness,102_Manipulated,6.0,102,Manipulated
108,Male,19,Averageness,102_Manipulated,2.0,102,Manipulated
111,Female,19,Averageness,102_Manipulated,3.0,102,Manipulated
114,Male,19,Averageness,102_Manipulated,3.0,102,Manipulated
117,Female,19,Averageness,102_Manipulated,,102,Manipulated
120,Female,19,Averageness,102_Manipulated,4.0,102,Manipulated
123,Male,19,Averageness,102_Manipulated,3.0,102,Manipulated
126,Male,21,Averageness,102_Manipulated,1.0,102,Manipulated
129,Female,19,Averageness,102_Manipulated,,102,Manipulated
132,Female,19,Averageness,102_Manipulated,3.0,102,Manipulated
135,Female,19,Averageness,102_Manipulated,4.0,102,Manipulated
138,Male,19,Averageness,102_Manipulated,,102,Manipulated
141,Female,22,Averageness,102_Manipulated,,102,Manipulated
144,Male,19,Averageness,102_Manipulated,,102,Manipulated
147,Female,19,Averageness,102_Manipulated,,102,Manipulated
150,Male,19,Averageness,102_Manipulated,5.0,102,Manipulated
153,Male,18,Averageness,102_Manipulated,4.0,102,Manipulated
156,Male,18,Averageness,102_Manipulated,2.0,102,Manipulated
159,Female,19,Averageness,102_Manipulated,,102,Manipulated
