PID,PID_Sex,PID_Age,Manipulation,combined_info,score,face_id,condition
43,Male,34,Masculinity,101_manipulated,0,101,manipulated
44,Female,19,Masculinity,101_manipulated,0,101,manipulated
45,Male,20,Masculinity,101_manipulated,4,101,manipulated
46,Female,19,Masculinity,101_manipulated,2,101,manipulated
47,Female,19,Masculinity,101_manipulated,5,101,manipulated
48,Female,20,Masculinity,101_manipulated,0,101,manipulated
49,Male,23,Masculinity,101_manipulated,0,101,manipulated
50,Female,19,Masculinity,101_manipulated,0,101,manipulated
51,Female,19,Masculinity,101_manipulated,3,101,manipulated
52,Female,22,Masculinity,101_manipulated,0,101,manipulated
53,Female,19,Masculinity,101_manipulated,0,101,manipulated
54,Male,19,Masculinity,101_manipulated,0,101,manipulated
55,Female,20,Masculinity,101_manipulated,0,101,manipulated
56,Female,20,Masculinity,101_manipulated,0,101,manipulated
57,Female,19,Masculinity,101_manipulated,4,101,manipulated
58,Male,18,Masculinity,101_manipulated,0,101,manipulated
59,Male,31,Masculinity,101_manipulated,1,101,manipulated
60,Male,19,Masculinity,101_manipulated,4,101,manipulated
61,Female,41,Masculinity,101_manipulated,0,101,manipulated
62,Female,19,Masculinity,101_manipulated,3,101,manipulated
63,Female,24,Masculinity,101_manipulated,1,101,manipulated
64,Female,19,Masculinity,101_manipulated,4,101,manipulated
65,Female,20,Masculinity,101_manipulated,0,101,manipulated
66,Male,21,Masculinity,101_manipulated,0,101,manipulated
67,Female,34,Masculinity,101_manipulated,0,101,manipulated
68,Male,18,Masculinity,101_manipulated,0,101,manipulated
69,Female,19,Masculinity,101_manipulated,0,101,manipulated
70,Female,19,Masculinity,101_manipulated,0,101,manipulated
71,Female,18,Masculinity,101_manipulated,0,101,manipulated
72,Female,18,Masculinity,101_manipulated,0,101,manipulated
73,Female,19,Masculinity,101_manipulated,0,101,manipulated
74,Female,18,Masculinity,101_manipulated,5,101,manipulated
75,Female,20,Masculinity,101_manipulated,5,101,manipulated
76,Female,18,Masculinity,101_manipulated,0,101,manipulated
77,Female,20,Masculinity,101_manipulated,6,101,manipulated
78,Female,19,Masculinity,101_manipulated,0,101,manipulated
79,Female,20,Masculinity,101_manipulated,0,101,manipulated
