pid,face_id,face_sex,attractiveness,distinctiveness,symmetry,dimorphism
3168134.0,galina,female,44,-1.5358977855500735,-0.9268573562314733,0.0561725502759994
3168134.0,tamara,female,25,1.506862910130899,0.5676971635638011,-1.542840327185835
3168134.0,blazej,male,50,1.0661001349118746,-1.9770706778942464,0.7586092970840651
3168134.0,irena,female,58,-1.1961407506087511,-0.9299667270445974,0.7510370564878086
3168134.0,jan,male,27,0.0393013795870387,0.7694651911299825,-0.082504717908036
3168134.0,svatopluk,male,32,-0.67646070656311,-1.1028523079296837,-0.5914653624428945
3168134.0,miroslav1,male,35,0.4794988815582143,1.6278208633046205,-0.7145929163817786
3168134.0,viola,female,61,-1.3002028060143,1.2830038805289783,0.304360045102466
3168134.0,vincent,male,2,0.7150873676762372,-1.160949437706477,1.2525320731253442
3168134.0,blazana,female,69,-1.0041617217365466,0.8386485120892927,-0.9656873202576484
3168134.0,nicol,female,58,2.718629220334407,-1.5466190955550063,2.0593461242102484
3168134.0,oleg,male,21,1.2215304926920023,-0.4277258796328276,-1.5849551858129765
3168134.0,mike,male,57,-0.6672361638702388,-0.3370281724973776,0.4106948659332132
3168134.0,agata,female,62,-0.2730647208467533,-0.596405179621126,0.2701457792020847
3168134.0,zlata,female,41,-1.266700435894628,-0.9528749180556924,0.2833749722544668
3168134.0,kazimir,male,0,0.4056661764764371,-0.1241517947428525,0.9748756392140044
3168134.0,ivan,male,36,-0.370831131238688,-1.733771176930982,-0.4541912624242912
3168134.0,ida,female,16,-0.1235139628264254,-1.2018326043291871,-1.027739795780591
3168134.0,ingrida,female,50,-0.5849705538237188,0.3039315315855195,-0.8982275696701933
3168134.0,roxanne,female,61,2.1297610994824874,1.1967789675645952,-1.187504719000031
3168134.0,vlastimil,male,39,-0.3036112502139308,-1.702976101368,0.1180532674193495
3168134.0,pravoslav,male,20,0.2914748087179561,2.279601253941689,0.5027829215305699
3168134.0,tomasi,male,5,-0.3985409066647679,1.2991435103383382,-0.4578745360746771
3168134.0,rudolf,male,50,0.0106700876120307,0.4067031066173964,0.2083250490426549
3168134.0,kristian,male,3,0.3787915700555754,-2.0969550942603576,0.8382654040585023
3168134.0,slavena,female,56,-0.6549532137165359,0.5001379026270817,0.0394969199570588
3168134.0,bera,female,50,-0.3066223942215978,0.2279687188680322,1.1115291044831173
3168134.0,eleanora,female,50,-0.9485098711169112,-0.2129211185957576,-0.4151399581318435
3168134.0,viktoria,female,50,-0.8381721529783411,-1.0438851809272185,0.3433638197812097
3168134.0,dalimil,male,35,0.0409893440354115,1.188503314329246,0.2706797777642074
3168134.0,robin,male,19,0.1932123756255538,0.5805067771164572,-0.8837091904078164
3168134.0,perla,female,50,-0.1816694777801625,-1.5983954433251064,0.8549526150001465
3168134.0,ctirad,male,3,-0.3820058790283932,0.4512841426311738,-0.0379684711074788
3168134.0,herbert,male,23,-0.6911321479961217,-1.0742500133294304,1.1021024952486305
